"""Procedimento"";""Quantidade aprovada"";""Valor aprovado"""
"""0101020058 APLICACAO DE CARIOSTATICO (POR DENTE)"";677;-"
"""0101020066 APLICACAO DE SELANTE (POR DENTE)"";1577;-"
"""0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO)"";4929;-"
"""0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA"";1308;-"
"""0101040059 ADMINISTRACAO DE VITAMINA A"";655;-"
"""0101040067 DISPENSACAO DE SUPLEMENTO DE FERRO"";162;-"
"""0101050011 PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA"";204;-"
"""0101050020 TERAPIA COMUNITARIA"";12411;-"
"""0101050046 YOGA"";56;-"
"""0101050054 OFICINA DE MASSAGEM/ AUTO-MASSAGEM"";1257;-"
"""0101050062 SESSAO DE ARTETERAPIA"";437;-"
"""0101050070 SESSAO DE MEDITACAO"";372;-"
"""0101050089 SESSAO DE MUSICOTERAPIA"";2429;-"
"""0101050097 SESSAO DE ANTROPOSOFIA APLICADA A SAUDE"";3;-"
"""0101050100 SESSAO DE BIODANCA"";2;-"
"""0101050119 SESSAO DE BIOENERGETICA"";2;-"
"""0101050127 SESSAO DE CONSTELACAO FAMILIAR"";37;-"
"""0101050143 SESSAO DE TERMALISMO"";6089;-"
"""0201010011 AMNIOCENTESE"";619;1456,07"
"""0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE"";3984;-"
"""0201010038 BIOPSIA CIRURGICA DE TIREOIDE"";1133;225252,44"
"""0201010046 BIOPSIA DE ANUS E CANAL ANAL"";7707;148630,97"
"""0201010054 BIOPSIA DE BACO POR PUNCAO / ASPIRACAO"";278;-"
"""0201010062 BIOPSIA DE BEXIGA"";4950;213938,83"
"""0201010070 BIOPSIA DE BOLSA ESCROTAL"";534;10235,16"
"""0201010089 BIOPSIA DE CONDUTO AUDITIVO EXTERNO"";97;-"
"""0201010097 BIOPSIA DE CONJUNTIVA"";310;9762,29"
"""0201010100 BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)"";86;4041,61"
"""0201010119 BIOPSIA DE CORNEA"";98;6827,69"
"""0201010127 BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO"";2343;1802753,45"
"""0201010135 BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)"";2259;608346,74"
"""0201010143 BIOPSIA DE ENDOCARDIO / MIOCARDIO"";9618;6790809,32"
"""0201010151 BIOPSIA DE ENDOMETRIO"";3236;-"
"""0201010160 BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA"";2419;206830,72"
"""0201010178 BIOPSIA DE EPIDIDIMO"";151;7078,59"
"""0201010186 BIOPSIA DE ESCLERA"";23;1701,77"
"""0201010194 BIOPSIA DE FARINGE/LARINGE"";7898;155180,12"
"""0201010208 BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO"";7407;1401660,64"
"""0201010216 BIOPSIA DE FIGADO POR PUNCAO"";11395;852761,66"
