"""Munic¡pio"";""Quantidade aprovada"";""Valor aprovado"""
"""110001 ALTA FLORESTA D'OESTE"";84443;3781195,68"
"""110002 ARIQUEMES"";860660;49234222,27"
"""110003 CABIXI"";4957;475168,78"
"""110004 CACOAL"";2698823;72753819,35"
"""110005 CEREJEIRAS"";66985;2547674,07"
"""110006 COLORADO DO OESTE"";28090;1661914,54"
"""110008 COSTA MARQUES"";5114;334636,77"
"""110009 ESPIGAO D'OESTE"";168341;2931518,77"
"""110010 GUAJARA-MIRIM"";237093;8025018,95"
"""110011 JARU"";610421;11925414,55"
"""110012 JI-PARANA"";1054360;48087792,90"
"""110013 MACHADINHO D'OESTE"";163577;4757666,55"
"""110014 NOVA BRASILANDIA D'OESTE"";20354;2279282,51"
"""110015 OURO PRETO DO OESTE"";102393;9205532,42"
"""110018 PIMENTA BUENO"";470095;8658966,39"
"""110020 PORTO VELHO"";15928034;470115594,57"
"""110025 PRESIDENTE MEDICI"";76778;2425930,11"
"""110026 RIO CRESPO"";1650;52379,40"
"""110028 ROLIM DE MOURA"";124379;8763129,13"
"""110029 SANTA LUZIA D'OESTE"";17809;1138569,21"
"""110030 VILHENA"";1168720;53891621,18"
"""110032 SAO MIGUEL DO GUAPORE"";85991;3742682,79"
"""110033 NOVA MAMORE"";106157;2184374,76"
"""110034 ALVORADA D'OESTE"";15399;1430835,81"
"""110037 ALTO ALEGRE DOS PARECIS"";2824;1153935,99"
"""110040 ALTO PARAISO"";41229;699458,51"
"""110045 BURITIS"";174261;3308612,08"
"""110050 NOVO HORIZONTE DO OESTE"";34463;918293,20"
"""110060 CACAULANDIA"";2465;201829,43"
"""110070 CAMPO NOVO DE RONDONIA"";6093;244456,99"
"""110080 CANDEIAS DO JAMARI"";3996;135402,50"
"""110094 CUJUBIM"";15916;2929769,39"
"""110100 GOVERNADOR JORGE TEIXEIRA"";575;96712,69"
"""110110 ITAPUA DO OESTE"";1549;113347,33"
"""110120 MINISTRO ANDREAZZA"";3069;425654,33"
"""110130 MIRANTE DA SERRA"";2594;1175338,49"
"""110140 MONTE NEGRO"";34494;1668576,06"
"""110143 NOVA UNIAO"";662;336083,67"
"""110145 PARECIS"";3149;310643,58"
"""110146 PIMENTEIRAS DO OESTE"";1080;140229,75"
"""110148 SAO FELIPE D'OESTE"";119;48700,81"
"""110149 SAO FRANCISCO DO GUAPORE"";166935;3392006,81"
"""110150 SERINGUEIRAS"";49158;2543362,50"
"""110155 TEIXEIROPOLIS"";471;168428,20"
"""110160 THEOBROMA"";6364;249288,05"
"""110170 URUPA"";20087;1635035,07"
"""110175 VALE DO ANARI"";584;221624,63"
"""110180 VALE DO PARAISO"";2351;523818,21"
"""120001 ACRELANDIA"";7303;389710,64"
"""120005 ASSIS BRASIL"";40651;850298,42"
"""120010 BRASILEIA"";194556;7192507,75"
"""120020 CRUZEIRO DO SUL"";1359771;36856174,49"
"""120030 FEIJO"";32903;1701261,92"
"""120033 MANCIO LIMA"";60853;824162,24"
"""120034 MANOEL URBANO"";24131;769076,32"
"""120035 MARECHAL THAUMATURGO"";7239;496901,39"
"""120038 PLACIDO DE CASTRO"";41957;912797,78"
"""120039 PORTO WALTER"";5104;304997,68"
"""120040 RIO BRANCO"";4625187;220840784,28"
"""120042 RODRIGUES ALVES"";9217;450242,21"
"""120043 SANTA ROSA DO PURUS"";4163;307621,52"
"""120045 SENADOR GUIOMARD"";58769;2496887,68"
"""120050 SENA MADUREIRA"";161175;4333212,89"
"""120060 TARAUACA"";101863;5091517,36"
"""120070 XAPURI"";103475;1335499,54"
"""130002 ALVARAES"";14803;1669149,77"
"""130006 AMATURA"";16595;1232101,96"
"""130008 ANAMA"";25550;1506741,39"
"""130010 ANORI"";25997;2315630,83"
"""130014 APUI"";25291;2520211,77"
"""130020 ATALAIA DO NORTE"";49204;1390518,74"
"""130030 AUTAZES"";32593;3543997,86"
"""130040 BARCELOS"";9043;1722997,52"
"""130050 BARREIRINHA"";43239;3117206,65"
"""130060 BENJAMIN CONSTANT"";60704;4450556,66"
"""130063 BERURI"";13242;1762096,19"
"""130068 BOA VISTA DO RAMOS"";34687;2060524,98"
"""130070 BOCA DO ACRE"";23193;4569838,35"
"""130080 BORBA"";98833;5174028,92"
"""130083 CAAPIRANGA"";15422;1198367,04"
"""130090 CANUTAMA"";15616;1252197,66"
"""130100 CARAUARI"";167678;5822360,71"
"""130110 CAREIRO"";37835;4602624,67"
"""130115 CAREIRO DA VARZEA"";743;20051,09"
"""130120 COARI"";410649;13483157,54"
"""130130 CODAJAS"";51885;2806215,27"
"""130140 EIRUNEPE"";56544;3890180,89"
"""130150 ENVIRA"";20937;2055055,60"
"""130160 FONTE BOA"";28126;3729540,10"
"""130165 GUAJARA"";26075;1099898,76"
"""130170 HUMAITA"";71868;6317921,06"
"""130180 IPIXUNA"";138507;4546185,89"
"""130185 IRANDUBA"";43313;2302342,22"
"""130190 ITACOATIARA"";258416;16725744,49"
"""130195 ITAMARATI"";2982;1134666,60"
"""130200 ITAPIRANGA"";69571;1279928,71"
"""130210 JAPURA"";10874;771133,33"
